seed,round,client_id,validation_dice_used,performance_deficit,deficit_weight,final_aggregation_weight,is_max_weight,round_worst_client_id,next_round_worst_client_id
42,1,0,,0,0,0.5121412804,True,0,0
42,1,1,,0,0,0.2052980132,False,0,0
42,1,2,,0,0,0.2825607064,False,0,0
42,2,0,0.14902319627649643,0.103377095,0.7561038999,0.6341225901,True,0,0
42,2,1,0.3891236901283264,0,0,0.1026490066,False,0,0
42,2,2,0.2190539875516185,0.0333463038,0.2438961001,0.2632284033,False,0,0
42,3,0,0.22718794147173563,0.1415730387,0.9303202497,0.721230765,True,0,0
42,3,1,0.5209376513957977,0,0,0.1026490066,False,0,0
42,3,2,0.35815734774978075,0.0106036325,0.0696797503,0.1761202284,False,0,0
42,4,0,0.4057418779999602,0.0643596736,0.9671229329,0.7396321067,True,0,0
42,4,1,0.5366491138935089,0,0,0.1026490066,False,0,0
42,4,2,0.4679136629457827,0.0021878887,0.0328770671,0.1577188867,False,0,0
42,5,0,0.3797577374121722,0.1061936077,0.8304971189,0.6713191996,True,0,0
42,5,1,0.6138188660144805,0,0,0.1026490066,False,0,0
42,5,2,0.4642774319207227,0.0216739132,0.1695028811,0.2260317938,False,0,0
42,6,0,0.44395047601531534,0.0688750083,0.9987250821,0.7554331812,True,0,0
42,6,1,0.5817884147167206,0,0,0.1026490066,False,0,0
42,6,2,0.5127375622590383,0.0000879221,0.0012749179,0.1419178121,False,0,0
42,7,0,0.4342791578348945,0.0935843878,0.9626893043,0.7374152923,True,0,0
42,7,1,0.6250749588012695,0,0,0.1026490066,False,0,0
42,7,2,0.5242365201314291,0.0036270255,0.0373106957,0.1599357011,False,0,0
42,8,0,0.5071141252330705,0.0415280725,0.558666923,0.5354041017,True,0,0
42,8,1,0.6229764223098755,0,0,0.1026490066,False,0,0
42,8,2,0.5158360456978833,0.032806152,0.441333077,0.3619468917,False,0,0
42,9,0,0.3610258616653143,0.131422636,0.8410300263,0.6765856533,True,0,2
42,9,1,0.6487124025821686,0,0,0.1026490066,False,0,2
42,9,2,0.4676072288442541,0.0248412689,0.1589699737,0.2207653401,False,0,2
42,10,0,0.529141753911972,0.0204032334,0.6273897395,0.5697655099,True,2,
42,10,1,0.5820658147335053,0,0,0.1026490066,False,2,
42,10,2,0.5374273933746196,0.012117594,0.3726102605,0.3275854834,False,2,
123,1,0,,0,0,0.5121412804,True,2,0
123,1,1,,0,0,0.2052980132,False,2,0
123,1,2,,0,0,0.2825607064,False,2,0
123,2,0,0.44603194267142054,0,0,0.2560706402,False,0,1
123,2,1,0.20009850859642028,0.0744705535,0.4343246379,0.3198113256,False,0,1
123,2,2,0.17757673506383542,0.096992327,0.5656753621,0.4241180342,True,0,1
123,3,0,0.20867032280155257,0.1695402525,1,0.7560706402,True,1,0
123,3,1,0.4809937059879303,0,0,0.1026490066,False,1,0
123,3,2,0.44496769706408185,0,0,0.1412803532,False,1,0
123,4,0,0.47059231412176994,0,0,0.2560706402,False,0,1
123,4,1,0.3745462030172348,0.0390833625,0.6861214287,0.445709721,True,0,1
123,4,2,0.39575017933492307,0.0178793862,0.3138785713,0.2982196388,False,0,1
123,5,0,0.2635483245054881,0.1644231747,1,0.7560706402,True,1,0
123,5,1,0.5420551002025604,0,0,0.1026490066,False,1,0
123,5,2,0.47831107289702807,0,0,0.1412803532,False,1,0
123,6,0,0.4770500545992571,0.005758919,0.3200505061,0.4160958932,False,0,1
123,6,1,0.47057411074638367,0.0122348628,0.6799494939,0.4426237536,True,0,1
123,6,2,0.500802755355835,0,0,0.1412803532,False,0,1
123,7,0,0.39768793769911226,0.081429166,1,0.7560706402,True,1,0
123,7,1,0.5210668742656708,0,0,0.1026490066,False,1,0
123,7,2,0.5185964990545202,0,0,0.1412803532,False,1,0
123,8,0,0.4886857551686904,0,0,0.2560706402,False,0,1
123,8,1,0.45208061933517457,0.0287460688,1,0.6026490066,True,0,1
123,8,2,0.5017136898305681,0,0,0.1412803532,False,0,1
123,9,0,0.35005395377383514,0.1196911521,1,0.7560706402,True,1,0
123,9,1,0.553810077905655,0,0,0.1026490066,False,1,0
123,9,2,0.5053712858094109,0,0,0.1412803532,False,1,0
123,10,0,0.5499260954412759,0,0,0.2560706402,False,0,
123,10,1,0.3630263566970825,0.0630775168,0.5094200041,0.3573590086,False,0,
123,10,2,0.3653591683617345,0.0607447051,0.4905799959,0.3865703512,True,0,
2025,1,0,,0,0,0.5121412804,True,2,0
2025,1,1,,0,0,0.2052980132,False,2,0
2025,1,2,,0,0,0.2825607064,False,2,0
2025,2,0,0.2365587206886095,0,0,0.2560706402,False,0,0
2025,2,1,0.2625134602189064,0,0,0.1026490066,False,0,0
2025,2,2,0.1893561225798395,0.0401199786,1,0.6412803532,True,0,0
2025,3,0,0.20017005181780048,0.1671562653,1,0.7560706402,True,0,0
2025,3,1,0.44406589269638064,0,0,0.1026490066,False,0,0
2025,3,2,0.45774300672389845,0,0,0.1412803532,False,0,0
2025,4,0,0.2560996278828266,0.1773626244,1,0.7560706402,True,0,0
2025,4,1,0.5037850797176361,0,0,0.1026490066,False,0,0
2025,4,2,0.5405020493048208,0,0,0.1412803532,False,0,0
2025,5,0,0.3447611758521959,0.1303177309,0.9806760743,0.7464086773,True,0,0
2025,5,1,0.4725110352039337,0.0025678715,0.0193239257,0.1123109695,False,0,0
2025,5,2,0.6079645090632968,0,0,0.1412803532,False,0,0
2025,6,0,0.4214341097018298,0.0635511597,0.5378258731,0.5249835767,True,0,1
2025,6,1,0.430373352766037,0.0546119166,0.4621741269,0.3337360701,False,0,1
2025,6,2,0.603148345594053,0,0,0.1412803532,False,0,1
2025,7,0,0.37643372369747535,0.1240625453,0.940887886,0.7265145832,True,1,0
2025,7,1,0.492701929807663,0.0077943392,0.059112114,0.1322050636,False,1,0
2025,7,2,0.6323531534936693,0,0,0.1412803532,False,1,0
2025,8,0,0.4712180208926107,0.0136966135,0.169984119,0.3410626997,False,0,1
2025,8,1,0.4180354058742523,0.0668792286,0.830015881,0.5176569471,True,0,1
2025,8,2,0.5654904765111429,0,0,0.1412803532,False,0,1
2025,9,0,0.37154558359407913,0.1499623031,1,0.7560706402,True,1,0
2025,9,1,0.5485181689262391,0,0,0.1026490066,False,1,0
2025,9,2,0.6444599076553628,0,0,0.1412803532,False,1,0
2025,10,0,0.4873075853375828,0.0352343875,0.4293669174,0.4707540989,True,0,
2025,10,1,0.4757151067256927,0.0468268661,0.5706330826,0.3879655479,False,0,
2025,10,2,0.6046032265380576,0,0,0.1412803532,False,0,
